id,name,host_id,host_name,neighbourhood,postcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,availability_365
11901776,Unique 2 bed flat central Bristol,48064237,Christopher,Lawrence Hill,BS2 0EB,51.4584457887,-2.5785160312,Loft,Entire home/apt,6,1,2,2,90,1,93,2018-11-04,5.24,97,10,9,10,10,9,10,1,53
11920376,Lovely quiet room overlooking the garden,47533528,Mary,Ashley,BS6 5BX,51.4730239597,-2.5828840544,House,Private room,1,1.5,1,1,35,2,7,2017-10-26,0.39,100,10,9,10,10,9,9,2,320
11930688,Charming English home.,26246059,Carl,Lawrence Hill,BRISTOL,51.463918113,-2.5685708734,House,Private room,1,1,1,1,28,2,26,2018-10-27,0.86,98,10,10,10,10,9,10,1,84
11931204,Apartment,37135228,Tatiana,Lawrence Hill,BS5 0UN,51.4664165904,-2.5706594813,Apartment,Entire home/apt,4,1,1,2,35,6,0,,,,,,,,,,1,0
11931594,"Homely, double bedroom house, set up for baby too",1955597,Caroline,Southville,BS3,51.4435921116,-2.6118050996,Townhouse,Entire home/apt,2,1,1,2,160,2,9,2018-08-12,0.28,98,10,10,10,10,9,9,1,10
11959737,Bristol skyline flat Montpelier,8521301,Zowie,Ashley,BS65EW,51.4681183949,-2.5859386361,Apartment,Entire home/apt,6,2,2,2,120,2,42,2018-01-21,1.31,95,10,10,10,10,10,10,2,336
11961212,"Clean, Comfy, Quiet – St. Andrews",46125713,Debra,Ashley,BS7 9AF,51.4740264388,-2.5893529859,Townhouse,Private room,1,1,1,1,20,1,270,2018-11-15,8.39,97,10,10,10,10,10,10,4,62
12019548,Waterfront Double Room - Stunninng Views!,49106204,Mark,Hotwells & Harbourside,BS1,51.447359542,-2.6039433447,Apartment,Private room,2,1,1,1,40,5,10,2018-10-26,0.35,100,10,10,10,10,10,10,1,108
12038639,Family ready and dog friendly home,64443484,Lawrence,Southville,BS3 2AE,51.4412171442,-2.6135016633,House,Entire home/apt,4,1,2,2,120,2,7,2016-12-27,0.25,87,10,8,10,10,10,9,1,0
12049542,Clifton Village Shabby Chic,17593204,Amanda,Clifton,BS8 4LN,51.4541325229,-2.6202284329,House,Private room,2,1,1,1,50,2,94,2018-10-06,2.95,96,10,10,10,10,10,10,1,0
12100361,Sophie & Dan's spare room,45263904,Sophie,St George West,BS5 8DX,51.4591990623,-2.5494245331,Townhouse,Private room,2,1,1,1,27,1,10,2018-08-22,0.31,96,10,10,10,10,10,10,3,259
12124943,"Southville, Bristol - beautiful double room",60676521,Sharon,Southville,BS3 1NU,51.4442933463,-2.6062507226,Townhouse,Private room,2,1,1,1,35,1,120,2018-11-11,4.23,99,10,10,10,10,10,10,2,337
12143469,"Central 2 bed flat in Clifton, Bristol (2 doubles)",65192629,Airbristol,Central,BS8 1QU,51.4582480549,-2.6085635491,Apartment,Entire home/apt,4,1,2,2,75,1,132,2018-11-01,4.32,88,9,9,10,10,10,9,54,336
12162237,Beautiful room at a perfect location in Clifton,40318076,Nectaria,Clifton,,51.4564917206,-2.6141807809,House,Private room,2,1,1,1,26,1,0,,,,,,,,,,2,0
12163884,"178 St Michaels Hill, modern stylish house",35883565,Tamsin,Central,,51.4614211042,-2.6035592283,Townhouse,Private room,2,1,1,1,90,3,3,2018-09-10,0.39,100,10,10,10,10,10,10,1,63
